"","Age","2010","2011","2012","sex"
"1","0",1720,1845,1730,1
"2","1",118,127,126,1
"3","2",66,73,67,1
"4","3",51,41,40,1
"5","4",36,37,40,1
"6","5",35,40,37,1
"7","6",31,30,31,1
"8","7",21,27,24,1
"9","8",34,31,32,1
"10","9",36,34,24,1
"11","10",28,29,27,1
"12","11",34,24,35,1
"13","12",38,35,35,1
"14","13",35,29,36,1
"15","14",45,46,39,1
"16","15",57,60,49,1
"17","16",76,84,61,1
"18","17",129,115,114,1
"19","18",182,139,181,1
"20","19",157,159,159,1
"21","20",198,193,173,1
"22","21",229,196,173,1
"23","22",211,208,183,1
"24","23",237,180,212,1
"25","24",227,181,192,1
"26","25",223,224,196,1
"27","26",221,214,214,1
"28","27",237,213,207,1
"29","28",239,258,233,1
"30","29",288,256,247,1
"31","30",311,275,274,1
"32","31",305,292,286,1
"33","32",315,278,273,1
"34","33",299,285,314,1
"35","34",354,323,281,1
"36","35",343,336,323,1
"37","36",384,399,327,1
"38","37",456,455,395,1
"39","38",546,487,429,1
"40","39",589,520,488,1
"41","40",615,589,602,1
"42","41",665,626,598,1
"43","42",693,741,622,1
"44","43",754,720,734,1
"45","44",932,838,804,1
"46","45",963,885,858,1
"47","46",951,965,914,1
"48","47",996,950,1022,1
"49","48",1065,1088,1052,1
"50","49",1135,1117,1116,1
"51","50",1184,1158,1188,1
"52","51",1292,1251,1248,1
"53","52",1436,1404,1284,1
"54","53",1449,1533,1435,1
"55","54",1533,1532,1542,1
"56","55",1661,1663,1607,1
"57","56",1934,1799,1751,1
"58","57",1988,1915,1833,1
"59","58",2126,2177,1997,1
"60","59",2334,2172,2216,1
"61","60",2672,2475,2347,1
"62","61",2925,2687,2670,1
"63","62",3386,3075,2917,1
"64","63",3860,3533,3219,1
"65","64",3491,3996,3736,1
"66","65",3674,3570,4184,1
"67","66",3991,3918,3818,1
"68","67",4070,4091,4188,1
"69","68",4092,4158,4268,1
"70","69",4179,4130,4596,1
"71","70",4624,4479,4488,1
"72","71",5018,4983,4629,1
"73","72",5477,5314,5228,1
"74","73",5741,5501,5585,1
"75","74",5994,6000,5962,1
"76","75",6300,5992,6346,1
"77","76",6480,6503,6562,1
"78","77",6886,6540,6819,1
"79","78",7489,6868,7101,1
"80","79",7675,7563,7292,1
"81","80",8042,7927,7787,1
"82","81",8296,8061,8443,1
"83","82",8223,8244,8545,1
"84","83",8243,8196,8631,1
"85","84",8427,8277,8483,1
"86","85",8338,8214,8432,1
"87","86",7960,7752,8543,1
"88","87",7699,7535,7983,1
"89","88",7358,7188,7461,1
"90","89",7267,6935,6916,1
"91","90",6202,6546,6575,1
"92","91",3813,5595,6133,1
"93","92",3114,3268,5135,1
"94","93",2917,2696,3000,1
"95","94",2626,2309,2221,1
"96","95",2046,1917,2033,1
"97","96",1518,1546,1659,1
"98","97",1045,1162,1263,1
"99","98",766,765,863,1
"100","99",447,522,613,1
"101","100",326,297,363,1
"102","101",193,201,216,1
"103","102",88,106,115,1
"104","103",48,56,64,1
"105","104",23,37,37,1
"106","105+",20,31,39,1
"107","0",1420,1309,1310,2
"108","1",107,106,91,2
"109","2",43,56,39,2
"110","3",46,38,41,2
"111","4",33,34,32,2
"112","5",26,24,34,2
"113","6",27,25,31,2
"114","7",26,15,25,2
"115","8",34,15,20,2
"116","9",22,18,20,2
"117","10",22,12,23,2
"118","11",21,27,16,2
"119","12",29,30,30,2
"120","13",26,25,28,2
"121","14",49,31,31,2
"122","15",51,31,39,2
"123","16",57,40,37,2
"124","17",78,57,55,2
"125","18",76,62,53,2
"126","19",80,72,67,2
"127","20",75,67,79,2
"128","21",59,86,81,2
"129","22",68,87,66,2
"130","23",95,92,80,2
"131","24",97,93,82,2
"132","25",97,102,95,2
"133","26",102,104,81,2
"134","27",126,133,105,2
"135","28",140,114,127,2
"136","29",112,114,107,2
"137","30",156,143,130,2
"138","31",132,164,155,2
"139","32",162,172,159,2
"140","33",158,168,164,2
"141","34",164,177,179,2
"142","35",209,205,180,2
"143","36",248,214,182,2
"144","37",295,232,229,2
"145","38",312,271,251,2
"146","39",299,297,313,2
"147","40",361,353,328,2
"148","41",428,404,362,2
"149","42",434,434,412,2
"150","43",491,495,448,2
"151","44",545,515,493,2
"152","45",566,575,579,2
"153","46",615,676,593,2
"154","47",681,627,683,2
"155","48",719,715,715,2
"156","49",770,776,793,2
"157","50",797,828,824,2
"158","51",902,884,895,2
"159","52",998,948,948,2
"160","53",1008,987,994,2
"161","54",1102,1089,1044,2
"162","55",1106,1086,1158,2
"163","56",1242,1182,1192,2
"164","57",1373,1326,1238,2
"165","58",1478,1323,1417,2
"166","59",1545,1563,1628,2
"167","60",1761,1698,1631,2
"168","61",1989,1851,1805,2
"169","62",2219,2058,2057,2
"170","63",2539,2372,2181,2
"171","64",2278,2757,2538,2
"172","65",2434,2443,2905,2
"173","66",2637,2630,2651,2
"174","67",2649,2834,2899,2
"175","68",2726,2911,2987,2
"176","69",2901,2902,3167,2
"177","70",3321,3087,3216,2
"178","71",3557,3395,3210,2
"179","72",3841,3904,3792,2
"180","73",4178,3954,4152,2
"181","74",4455,4387,4504,2
"182","75",4766,4699,4806,2
"183","76",5160,5062,5197,2
"184","77",5679,5457,5611,2
"185","78",6362,5973,5945,2
"186","79",7048,6578,6491,2
"187","80",7557,7352,7394,2
"188","81",8011,7789,8045,2
"189","82",8541,8338,8482,2
"190","83",9139,8812,9122,2
"191","84",9760,9191,9619,2
"192","85",10207,9613,9942,2
"193","86",10510,10117,10579,2
"194","87",10826,10350,10550,2
"195","88",11433,10641,10873,2
"196","89",11886,10922,11173,2
"197","90",11518,11345,11415,2
"198","91",7629,10492,11330,2
"199","92",6780,6969,10607,2
"200","93",6800,5911,6720,2
"201","94",6429,5838,5630,2
"202","95",5647,5547,5300,2
"203","96",4809,4654,4895,2
"204","97",3845,3838,3941,2
"205","98",2797,2924,3173,2
"206","99",2032,2129,2386,2
"207","100",1492,1482,1660,2
"208","101",1043,1042,1109,2
"209","102",680,648,714,2
"210","103",434,426,458,2
"211","104",231,246,279,2
"212","105+",250,291,341,2
